id,Elecciones,Partido,Porcentaje,Votos,Participacion,Electores,Votantes
"CHACO","GENERALES 2023","NULO","0.53","3841","72.45","1000094","724566"
"CHUBUT","GENERALES 2023","NULO","1.53","5416","74.54","474701","353825"
"CIUDAD AUTONOMA DE BUENOS AIRES","GENERALES 2023","NULO","0.8","15367","75.65","2526676","1911431"
"CORDOBA","GENERALES 2023","NULO","0.81","18869","76.19","3060943","2332248"
"CORRIENTES","GENERALES 2023","NULO","0.95","6781","76.8","930212","714443"
"ENTRE RIOS","GENERALES 2023","NULO","0.96","8455","76.8","1145440","879653"
"FORMOSA","GENERALES 2023","NULO","0.55","2013","75.61","482420","364755"
"JUJUY","GENERALES 2023","NULO","0.99","4606","78.35","590950","463017"
"LA PAMPA","GENERALES 2023","NULO","0.93","2154","77.33","300032","232000"
"LA RIOJA","GENERALES 2023","NULO","0.68","1655","79.62","304409","242363"
"MENDOZA","GENERALES 2023","NULO","1.32","15031","76.45","1494888","1142804"
"MISIONES","GENERALES 2023","NULO","0.56","4215","75.89","989204","750671"
"NEUQUEN","GENERALES 2023","NULO","1.55","6864","79.86","554077","442495"
"RIO NEGRO","GENERALES 2023","NULO","1.44","6592","77.05","595968","459214"
"SALTA","GENERALES 2023","NULO","0.92","7219","71.66","1091792","782342"
"SAN JUAN","GENERALES 2023","NULO","0.94","4273","74.91","607413","455037"
"SAN LUIS","GENERALES 2023","NULO","1.04","3412","77.99","421037","328355"
"SANTA CRUZ","GENERALES 2023","NULO","1.66","3103","70.25","265400","186441"
"SANTA FE","GENERALES 2023","NULO","1.2","24935","73.22","2827794","2070486"
"SANTIAGO DEL ESTERO","GENERALES 2023","NULO","0.63","3985","77.15","814128","628087"
"TIERRA DEL FUEGO","GENERALES 2023","NULO","1.63","1786","74.11","147968","109652"
"TUCUMAN","GENERALES 2023","NULO","0.8","8661","81.8","1319493","1079405"
"BUENOS AIRES","GENERALES 2023","UNION POR LA PATRIA","42.88","4224688","77.71","13124435","10199399"
"CATAMARCA","GENERALES 2023","UNION POR LA PATRIA","42.79","99612","72.81","340606","247986"
"CHACO","GENERALES 2023","UNION POR LA PATRIA","43.7","310962","72.45","1000094","724566"
"CHUBUT","GENERALES 2023","UNION POR LA PATRIA","32.26","110820","74.54","474701","353825"
"CIUDAD AUTONOMA DE BUENOS AIRES","GENERALES 2023","UNION POR LA PATRIA","32.28","600832","75.65","2526676","1911431"
"CORDOBA","GENERALES 2023","UNION POR LA PATRIA","13.42","308016","76.19","3060943","2332248"
"CORRIENTES","GENERALES 2023","UNION POR LA PATRIA","37.21","260040","76.8","930212","714443"
"ENTRE RIOS","GENERALES 2023","UNION POR LA PATRIA","33.26","276850","76.8","1145440","879653"
"FORMOSA","GENERALES 2023","UNION POR LA PATRIA","52.33","187229","75.61","482420","364755"
"JUJUY","GENERALES 2023","UNION POR LA PATRIA","32.32","146027","78.35","590950","463017"
"LA PAMPA","GENERALES 2023","UNION POR LA PATRIA","34.8","79229","77.33","300032","232000"
"LA RIOJA","GENERALES 2023","UNION POR LA PATRIA","41.1","97412","79.62","304409","242363"
"MENDOZA","GENERALES 2023","UNION POR LA PATRIA","23.98","265740","76.45","1494888","1142804"
"MISIONES","GENERALES 2023","UNION POR LA PATRIA","37.91","275062","75.89","989204","750671"
"NEUQUEN","GENERALES 2023","UNION POR LA PATRIA","31.78","134510","79.86","554077","442495"
"RIO NEGRO","GENERALES 2023","UNION POR LA PATRIA","37.85","166135","77.05","595968","459214"
"SALTA","GENERALES 2023","UNION POR LA PATRIA","37.61","287756","71.66","1091792","782342"
"SAN JUAN","GENERALES 2023","UNION POR LA PATRIA","33.23","147523","74.91","607413","455037"
"SAN LUIS","GENERALES 2023","UNION POR LA PATRIA","27.2","86681","77.99","421037","328355"
"SANTA CRUZ","GENERALES 2023","UNION POR LA PATRIA","37.88","65062","70.25","265400","186441"
"SANTA FE","GENERALES 2023","UNION POR LA PATRIA","29.68","601241","73.22","2827794","2070486"
"SANTIAGO DEL ESTERO","GENERALES 2023","UNION POR LA PATRIA","65.5","402863","77.15","814128","628087"
"TIERRA DEL FUEGO","GENERALES 2023","UNION POR LA PATRIA","38.21","40548","74.11","147968","109652"
"TUCUMAN","GENERALES 2023","UNION POR LA PATRIA","44.98","471145","81.8","1319493","1079405"
